Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,poder electroaceptor,Electrofilicidad neta,Nucleofilicidad
0.9796,5.5424,3.261,-3.261,1.1653,4.5628,0.219163671,-5.5424,-0.9796,4.2463,0.9853,5.2316,3.2501
1.221,5.6589,3.4399,-3.4399,1.3332,4.4379,0.225331801,-5.6589,-1.221,4.6637,1.2238,5.8875,3.1336
1.03,6.72,3.8787,-3.8787,1.3222,5.6894,0.175765459,-6.72,-1.03,4.9392,1.0605,5.9997,2.0725
1.4875,5.4725,3.48,-3.48,1.31,4.64,0.215517241,-5.4725,-1.4875,4.64,1.161,5.801,3.32
1.3275,5.2925,3.31,-3.31,1.18,4.62,0.216450216,-5.2925,-1.3275,4.31,1,5.31,3.5
1.4375,5.5425,3.49,-3.49,1.28,4.77,0.209643606,-5.5425,-1.4375,4.6,1.11,5.71,3.25
1.3075,5.5725,3.44,-3.44,1.2,4.94,0.20242915,-5.5725,-1.3075,4.42,0.98,5.4,3.22
2.2875,6.0125,4.15,-4.15,2.31,3.73,0.268096515,-6.0125,-2.2875,6.93,2.78,9.71,2.78
0.4575,6.4225,3.44,-3.44,0.99,5.96,0.167785235,-6.4225,-0.4575,4.09,0.64,4.73,2.37
0.8475,8.0125,4.43,-4.43,1.37,7.16,0.139664804,-8.0125,-0.8475,5.41,0.98,6.39,0.78
2.1875,6.4525,4.32,-4.32,2.19,4.26,0.234741784,-6.4525,-2.1875,6.81,2.49,9.3,2.34
0.8775,5.5825,3.23,-3.23,1.11,4.71,0.212314225,-5.5825,-0.8775,4.12,0.89,5.01,3.21
1.0875,6.3505,3.719,-3.719,1.314,5.263,0.1900057,-6.3505,-1.0875,4.817,1.098,5.915,2.442
0.9995,6.6545,3.827,-3.827,1.295,5.655,0.17683466,-6.6545,-0.9995,4.856,1.029,5.885,2.138
1.1745,6.3175,3.746,-3.746,1.364,5.143,0.194439043,-6.3175,-1.1745,4.923,1.177,6.1,2.475
0.9935,6.2585,3.626,-3.626,1.248,5.265,0.189933523,-6.2585,-0.9935,4.638,1.013,5.651,2.534
1.1175,5.9505,3.534,-3.534,1.293,4.833,0.206910821,-5.9505,-1.1175,4.654,1.12,5.774,2.842
1.0965,6.3095,3.703,-3.703,1.315,5.214,0.191791331,-6.3095,-1.0965,4.807,1.104,5.911,2.483
0.9365,5.9375,3.437,-3.437,1.181,5.001,0.199960008,-5.9375,-0.9365,4.394,0.957,5.351,2.855
1.0275,6.1125,3.57,-3.57,1.253,5.085,0.196656834,-6.1125,-1.0275,4.61,1.039,5.649,2.68
0.9645,6.0975,3.531,-3.531,1.215,5.132,0.194855807,-6.0975,-0.9645,4.516,0.985,5.501,2.695
1.4475,6.4625,3.955,-3.955,1.56,5.015,0.199401795,-6.4625,-1.4475,5.41,1.455,6.865,2.33
1.04,6.09,3.5617,-3.5617,1.2564,5.0483,0.198086485,-6.09,-1.04,4.6093,1.0476,5.6569,2.7025
0.884,6.635,3.76,-3.76,1.229,5.751,0.173882803,-6.635,-0.884,4.697,0.937,5.634,2.1575
0.942,6.637,3.79,-3.79,1.261,5.695,0.175592625,-6.637,-0.942,4.772,0.983,5.755,2.1555
0.993,6.812,3.903,-3.903,1.309,5.819,0.171850833,-6.812,-0.993,4.932,1.03,5.962,1.9805
0.748,6.661,3.704,-3.704,1.16,5.913,0.169118891,-6.661,-0.748,4.543,0.838,5.381,2.1315
0.717,6.873,3.795,-3.795,1.17,6.156,0.162443145,-6.873,-0.717,4.621,0.827,5.448,1.9195
1.016,6.717,3.867,-3.867,1.311,5.702,0.175377061,-6.717,-1.016,4.912,1.045,5.957,2.0755
0.771,6.697,3.734,-3.734,1.177,5.926,0.168747891,-6.697,-0.771,4.59,0.856,5.446,2.0955
1.22,6.24,3.73,-3.73,1.39,5.02,0.199203187,-6.24,-1.22,4.95,1.22,6.17,2.5525
1.74,6.2,3.97,-3.97,1.76,4.47,0.223713647,-6.2,-1.74,5.79,1.82,7.61,2.5925
1.76,6.04,3.9,-3.9,1.78,4.28,0.23364486,-6.04,-1.76,5.78,1.87,7.65,2.7525
1.38,6.22,3.8,-3.8,1.5,4.84,0.20661157,-6.22,-1.38,5.19,1.39,6.58,2.5725
1.69,6.08,3.88,-3.88,1.72,4.39,0.227790433,-6.08,-1.69,5.65,1.76,7.41,2.7125
1.4,6.19,3.8,-3.8,1.51,4.79,0.208768267,-6.19,-1.4,5.21,1.41,6.62,2.6025
1.79,6.12,3.96,-3.96,1.81,4.33,0.230946882,-6.12,-1.79,5.86,1.91,7.77,2.6725
1.0123,6.4594,3.7359,-3.7359,1.2811,5.4472,0.183580555,-6.4594,-1.0123,4.7705,1.0347,5.8052,2.3331
-0.8199,6.5013,3.6606,-3.6606,1.1793,5.6815,0.176009857,-6.5013,0.8199,4.544,0.8833,5.4273,2.2912
0.64,5.85,3.24,-3.24,1.01,5.21,0.19193858,-5.85,-0.64,3.97,0.72,4.69,2.9425
0.77,5.71,3.24,-3.24,1.06,4.94,0.20242915,-5.71,-0.77,4.05,0.81,4.86,3.0825
0.64,6.07,3.35,-3.35,1.03,5.43,0.184162063,-6.07,-0.64,4.08,0.73,4.81,2.7225
0.7,6.92,3.81,-3.81,1.17,6.22,0.160771704,-6.92,-0.7,4.63,0.82,5.45,1.8725
0.75,6.98,3.87,-3.87,1.2,6.23,0.160513644,-6.98,-0.75,4.72,0.86,5.58,1.8125
0.66,6.81,3.74,-3.74,1.13,6.16,0.162337662,-6.81,-0.66,4.52,0.79,5.31,1.9825
0.72,5.75,3.23,-3.23,1.04,5.05,0.198019802,-5.75,-0.72,4.01,0.78,4.79,3.0425
0.71,5.73,3.22,-3.22,1.03,5.04,0.198412698,-5.73,-0.71,4.01,0.79,4.8,3.0625
0.83,6.33,3.58,-3.58,1.16,5.51,0.181488203,-6.33,-0.83,4.46,0.88,5.34,2.4625
0.74,5.86,3.3,-3.3,1.06,5.12,0.1953125,-5.86,-0.74,4.09,0.79,4.88,2.9325
0.87,6.86,3.86,-3.86,1.25,5.99,0.166944908,-6.86,-0.87,4.8,0.94,5.74,1.9325
0.67,6.05,3.36,-3.36,1.05,5.39,0.185528757,-6.05,-0.67,4.11,0.75,4.86,2.7425
2.0724,5.971,4.0217,-4.0217,2.0744,3.8986,0.256502334,-5.971,-2.0724,6.4032,2.3815,8.7847,2.8215
3.33,5.29,4.31,-4.31,4.74,1.96,0.510204082,-5.29,-3.33,11.76,7.45,19.21,3.5025
3.28,5.27,4.27,-4.27,4.59,1.99,0.502512563,-5.27,-3.28,11.44,7.17,18.61,3.5225
2.43,6.16,4.3,-4.3,2.47,3.73,0.268096515,-6.16,-2.43,7.33,3.03,10.36,2.6325
0.68,5.9,3.29,-3.29,1.04,5.21,0.19193858,-5.9,-0.68,4.05,0.76,4.81,2.8925
0.68,5.94,3.31,-3.31,1.04,5.26,0.190114068,-5.94,-0.68,4.07,0.76,4.83,2.8525
0.68,5.94,3.31,-3.31,1.04,5.26,0.190114068,-5.94,-0.68,4.07,0.76,4.83,2.8525
2.42,6.12,4.27,-4.27,2.46,3.7,0.27027027,-6.12,-2.42,7.29,3.02,10.31,2.6725
2.46,6.24,4.35,-4.35,2.5,3.78,0.264550265,-6.24,-2.46,7.42,3.07,10.49,2.5525
1.7,5.43,3.56,-3.56,1.8,3.73,0.268096515,-5.43,-1.7,5.42,1.85,7.27,3.3625
1.87,6.11,3.99,-3.99,1.87,4.24,0.235849057,-6.11,-1.87,6.01,2.03,8.04,2.6825
1.98,6.25,4.11,-4.11,1.98,4.27,0.234192037,-6.25,-1.98,6.29,2.18,8.47,2.5425
2.52,6.14,4.33,-4.33,2.59,3.62,0.276243094,-6.14,-2.52,7.56,3.23,10.79,2.6525
2.41,5.94,4.16,-4.16,2.47,3.5,0.285714286,-5.94,-2.41,7.23,3.08,10.31,2.8525
2.28,6.06,4.17,-4.17,2.31,3.78,0.264550265,-6.06,-2.28,6.93,2.76,9.69,2.7325
2.38,6.1,4.24,-4.24,2.42,3.72,0.268817204,-6.1,-2.38,7.19,2.95,10.14,2.6925
0.33,6.6,3.46,-3.46,0.96,6.27,0.159489633,-6.6,-0.33,4.04,0.57,4.61,2.1925
0.22,6.49,3.35,-3.35,0.9,6.28,0.159235669,-6.49,-0.22,3.86,0.51,4.37,2.3025
0.5271,6.8711,3.6991,-3.6991,1.0784,6.3441,0.157626771,-6.8711,-0.5271,4.403,0.7038,5.1068,1.9214
0.8431,5.7919,3.3175,-3.3175,1.1119,4.9489,0.202065105,-5.7919,-0.8431,4.1919,0.8744,5.0663,3.0006
2.0134,5.7626,3.888,-3.888,2.0159,3.7492,0.266723568,-5.7626,-2.0134,6.2102,2.3222,8.5324,3.0299
1.762,5.8748,3.8184,-3.8184,1.6904,4.3127,0.231873304,-5.8748,-1.762,5.5596,1.7411,7.3007,2.9177
2.428,5.9556,4.1918,-4.1918,2.3568,3.7277,0.268261931,-5.9556,-2.428,7.0425,2.8507,9.8932,2.8369
1.3941,6.3615,3.8778,-3.8778,3.0271,2.4837,0.402625116,-6.3615,-1.3941,5.276566438,1.398766438,6.675332875,2.431
3.3065,7.6391,5.4728,-5.4728,6.913,2.1663,0.461616581,-7.6391,-3.3065,9.920251212,4.447451212,14.36770242,1.1534
3.2229,5.9789,4.6009,-4.6009,7.6809,1.378,0.725689405,-5.9789,-3.2229,10.15349855,5.552598552,15.7060971,2.8136
1.06,5.65,3.36,-3.36,1.23,4.59,0.217864924,-5.65,-1.06,4.42,1.06,5.48,3.1425
1.15,5.66,3.41,-3.41,1.29,4.51,0.22172949,-5.66,-1.15,4.56,1.15,5.71,3.1325
1.05,5.66,3.36,-3.36,1.22,4.62,0.216450216,-5.66,-1.05,4.41,1.05,5.46,3.1325
1.16,5.75,3.46,-3.46,1.3,4.58,0.218340611,-5.75,-1.16,4.62,1.17,5.79,3.0425
1.04,5.68,3.36,-3.36,1.22,4.64,0.215517241,-5.68,-1.04,4.41,1.05,5.46,3.1125
1.2,5.79,3.5,-3.5,1.33,4.6,0.217391304,-5.79,-1.2,4.7,1.2,5.9,3.0025
1.04,5.69,3.37,-3.37,1.22,4.64,0.215517241,-5.69,-1.04,4.42,1.05,5.47,3.1025
1.17,6.16,3.67,-3.67,1.35,4.99,0.200400802,-6.16,-1.17,4.84,1.17,6.01,2.6325
1.5415,6.2425,3.892,-3.892,1.61,4.702,0.212675457,-6.2425,-1.5415,5.46,1.569,7.029,2.55
1.7705,6.4095,4.09,-4.09,1.803,4.639,0.215563699,-6.4095,-1.7705,4.941,1.851,6.792,2.383
1.7485,6.2735,4.011,-4.011,1.778,4.524,0.221043324,-6.2735,-1.7485,5.844,1.833,7.677,2.519
1.8435,6.3845,4.114,-4.114,1.864,4.54,0.220264317,-6.3845,-1.8435,6.069,1.955,8.024,2.408
1.7415,6.2925,4.017,-4.017,1.773,4.551,0.219731927,-6.2925,-1.7415,5.828,1.821,7.649,2.5
1.6395,6.1965,3.918,-3.918,1.683,4.559,0.219346348,-6.1965,-1.6395,5.61,1.693,7.303,2.596
1.6615,6.3345,3.998,-3.998,1.711,4.672,0.214041096,-6.3345,-1.6615,5.713,1.714,7.427,2.458
1.1268,5.826,3.4764,-3.4764,1.2859,4.6991,0.212806708,-5.826,-1.1268,4.6037,1.1273,5.731,2.9665
0.93,6.14,3.54,-3.54,1.2,5.21,0.19193858,-6.14,-0.93,4.5,0.96,5.46,2.6525
0.85,6.22,3.54,-3.54,1.17,5.37,0.186219739,-6.22,-0.85,4.44,0.9,5.34,2.5725
0.92,6.16,3.54,-3.54,1.2,5.24,0.190839695,-6.16,-0.92,4.5,0.95,5.45,2.6325
1,6.54,3.77,-3.77,1.29,5.54,0.180505415,-6.54,-1,4.8,1.03,5.83,2.2525
0.92,6.56,3.74,-3.74,1.24,5.63,0.177619893,-6.56,-0.92,4.7,0.96,5.66,2.2325
1.9,6.928,4.41,-4.41,1.94,5.03,0.198807157,-6.928,-1.9,6.4,1.98,8.38,1.8645
2.066,6.551,4.31,-4.31,2.07,4.48,0.223214286,-6.551,-2.066,6.57,2.27,8.84,2.2415
1.921,6.788,4.35,-4.35,1.95,4.87,0.205338809,-6.788,-1.921,6.38,2.02,8.4,2.0045
2.004,6.659,4.33,-4.33,2.02,4.65,0.215053763,-6.659,-2.004,6.49,2.16,8.65,2.1335
1.99,6.793,4.39,-4.39,2.01,4.8,0.208333333,-6.793,-1.99,6.51,2.12,8.63,1.9995
1.99,6.848,4.42,-4.42,2.01,4.86,0.205761317,-6.848,-1.99,6.53,2.11,8.64,1.9445
1.962,6.708,4.34,-4.34,1.98,4.75,0.210526316,-6.708,-1.962,6.42,2.09,8.51,2.0845
0.9396,6.2605,3.261,-3.261,1.2179,5.3209,0.187938131,-6.2605,-0.9396,4.5684,0.9683,5.5367,2.532
1.0234,6.2418,3.6326,-3.6326,1.2644,5.2183,0.191633291,-6.2418,-1.0234,4.6712,1.0386,5.7098,2.5507
0.8531,6.3147,3.5839,-3.5839,1.1759,5.4616,0.183096528,-6.3147,-0.8531,4.485,0.9011,5.3861,2.4778
1.148,6.2681,3.7081,-3.7081,1.3427,5.1201,0.195308685,-6.2681,-1.148,4.8595,1.1515,6.011,2.5244
1.0876,6.2118,3.6497,-3.6497,1.2998,5.1242,0.195152414,-6.2118,-1.0876,4.7447,1.0949,5.8396,2.5807
1.6379,6.2524,3.9451,-3.9451,1.6864,4.6145,0.216708202,-6.2524,-1.6379,5.6338,1.5887,7.2225,2.5401
1.4128,6.2722,3.8425,-3.8425,1.5192,4.8594,0.205786723,-6.2722,-1.4128,5.2634,1.4209,6.6843,2.5203
1.1255,5.9647,3.5451,-3.5451,1.2985,4.8393,0.206641456,-5.9647,-1.1255,4.672,1.1269,5.7989,2.8278
0.32,6.19,3.25,-3.25,0.9,5.87,0.170357751,-6.19,-0.32,4.33,0.54,4.87,2.6025
1.26,5.81,3.54,-3.54,1.38,4.55,0.21978022,-5.81,-1.26,4.81,1.27,6.08,2.9825
0.61,6.77,3.69,-3.69,1.11,6.16,0.162337662,-6.77,-0.61,4.44,0.75,5.19,2.0225
0.58,6.45,3.52,-3.52,1.05,5.87,0.170357751,-6.45,-0.58,4.23,0.72,4.95,2.3425
1.1331,5.264,3.1986,-3.1986,1.2383,4.131,0.242072137,-5.264,-1.1331,4.33408897,1.13553897,5.46962794,3.5285
0.9951,6.1511,3.5731,-3.5731,1.2381,5.156,0.193948798,-6.1511,-0.9951,4.584952756,1.011852756,5.596805512,2.6414
1.1108,5.8733,3.492,-3.492,1.2802,4.7625,0.209973753,-5.8733,-1.1108,4.604187959,1.112137959,5.716325918,2.9192
1.1663,5.6485,3.4074,-3.4074,1.2952,4.4823,0.223099748,-5.6485,-1.1663,4.574166972,1.166766972,5.740933944,3.144
1.0563,5.6409,3.3486,-3.3486,1.2229,4.5846,0.218121537,-5.6409,-1.0563,4.4066609,1.0580609,5.4647218,3.1516
1.7445,6.3364,4.042,-4.042,1.7801,4.5889,0.217917148,-6.3364,-1.7445,5.862443429,1.821993429,7.684436858,2.4561
0.27,6.26,3.27,-3.27,0.89,5.99,0.166944908,-6.26,-0.27,3.79,0.52,4.31,2.5325
0.59,6.29,3.44,-3.44,1.04,5.7,0.175438596,-6.29,-0.59,4.16,0.71,4.87,2.5025
0.59,4.88,2.73,-2.73,0.87,4.29,0.233100233,-4.88,-0.59,3.38,0.65,4.03,3.9125
-0.05,6.04,2.99,-2.99,0.74,6.1,0.163934426,-6.04,0.05,3.35,0.35,3.7,2.7525
-0.05,6,2.97,-2.97,0.73,6.05,0.165289256,-6,0.05,3.33,0.35,3.68,2.7925
-0.13,5.87,2.87,-2.87,0.69,5.99,0.166944908,-5.87,0.13,3.19,0.32,3.51,2.9225
0.3,5.98,3.14,-3.14,0.87,5.68,0.176056338,-5.98,-0.3,3.66,0.52,4.18,2.8125
0.68,6.22,3.45,-3.45,1.07,5.53,0.180831826,-6.22,-0.68,4.22,0.77,4.99,2.5725
0.48,6.29,3.36,-3.36,0.99,5.81,0.17211704,-6.29,-0.48,4.03,0.64,4.67,2.5025
0.55,6.26,3.41,-3.41,1.02,5.72,0.174825175,-6.26,-0.55,4.09,0.68,4.77,2.5325
0.47,6.3,3.39,-3.39,0.98,5.82,0.171821306,-6.3,-0.47,4.03,0.64,4.67,2.4925
0.18,6,3.09,-3.09,0.82,5.82,0.171821306,-6,-0.18,3.54,0.46,4,2.7925
0.27,6.31,3.29,-3.29,0.89,6.05,0.165289256,-6.31,-0.27,3.81,0.52,4.33,2.4825
0.45,6.34,3.39,-3.39,0.98,5.88,0.170068027,-6.34,-0.45,4.02,0.63,4.65,2.4525
0.56,6.18,3.77,-3.77,1.01,5.61,0.178253119,-6.18,-0.56,4.06,0.69,4.75,2.6125
0.59,6.18,3.38,-3.38,1.02,5.6,0.178571429,-6.18,-0.59,4.09,0.7,4.79,2.6125
0.45,6.34,3.4,-3.4,0.98,5.88,0.170068027,-6.34,-0.45,4.02,0.63,4.65,2.4525
3.0639,5.3883,4.2253,-4.2253,3.831,2.324,0.430292599,-5.3883,-3.0639,5.8449,4.4318,10.2767,3.4042
0.085,0.189,3.7285,-3.7285,2.4579,2.8279,0.353619293,-0.189,-0.085,4.0907,2.7866,6.8773,8.6035
0.083,0.188,3.6894,-3.6894,2.3921,2.8451,0.351481494,-0.188,-0.083,4.0025,2.7087,6.7112,8.6045
0.1271,0.1995,4.4428,-4.4428,4.9457,1.9956,0.501102425,-0.1995,-0.1271,7.1959,5.7429,12.9388,8.593
1.578,5.589,3.603,-3.603,1.616,4.016,0.249003984,-5.589,-1.578,5.285,1.682,6.967,3.2035
1.819,5.416,3.636,-3.636,1.838,3.596,0.278086763,-5.416,-1.819,5.718,2.083,7.801,3.3765
0.127,0.198,4.482,-4.482,5.2509,1.9129,0.52276648,-0.198,-0.127,7.5633,6.105,13.6683,8.5945
1.51,5.678,3.614,-3.614,1.604,4.071,0.245639892,-5.678,-1.51,5.269,1.656,6.925,3.1145
1.841,5.464,3.669,-3.669,1.913,3.518,0.284252416,-5.464,-1.841,5.882,2.212,8.094,3.3285
2.433,5.596,4.034,-4.034,2.683,3.033,0.329706561,-5.596,-2.433,7.573,3.539,11.112,3.1965
1.9192,5.6214,3.7703,-3.7703,1.9199,3.7021,0.270116961,-5.6214,-1.9192,3.5024,2.1218,5.6242,3.1711
2.171,3.239,2.705,-2.705,3.426,1.068,0.936329588,-3.239,-2.171,8.271,5.566,13.837,5.5535
0.551,6.421,3.486,-3.486,1.035,5.87,0.170357751,-6.421,-0.551,4.18,0.694,4.874,2.3715
0.406,6.286,3.346,-3.346,0.952,5.88,0.170068027,-6.286,-0.406,3.944,0.598,4.542,2.5065
0.464,6.352,3.408,-3.408,0.986,5.887,0.169865806,-6.352,-0.464,4.045,0.637,4.682,2.4405
0.458,6.443,3.451,-3.451,0.995,5.985,0.167084378,-6.443,-0.458,4.089,0.638,4.727,2.3495
0.645,6.322,3.484,-3.484,1.069,5.677,0.176149375,-6.322,-0.645,4.234,0.751,4.985,2.4705
0.66,6.476,3.568,-3.568,1.094,5.816,0.171939477,-6.476,-0.66,4.337,0.768,5.105,2.3165
0.781,6.404,3.592,-3.592,1.147,5.624,0.177809388,-6.404,-0.781,4.443,0.85,5.293,2.3885
0.197,6.36,3.278,-3.278,0.872,6.163,0.16225864,-6.36,-0.197,3.768,0.49,4.258,2.4325
0.126,6.407,3.267,-3.267,0.85,6.28,0.159235669,-6.407,-0.126,3.725,0.458,4.183,2.3855
0.015,6.349,3.167,-3.167,0.788,6.364,0.157133878,-6.349,-0.015,3.558,0.39,3.948,2.4435
0.116,6.403,3.26,-3.26,0.845,3.287,0.30422878,-6.403,-0.116,3.713,0.453,4.166,2.3895
0.292,6.527,3.41,-3.41,0.932,6.236,0.160359205,-6.527,-0.292,3.959,0.549,4.508,2.2655
0.249,6.25,3.25,-3.25,0.88,6.001,0.166638894,-6.25,-0.249,3.76,0.51,4.27,2.5425
2.75,6.43,4.65,-4.65,2.38,4.54,0.220264317,-6.43,-2.75,7.36,2.71,10.07,2.3625
2.84,6.45,4.69,-4.69,2.46,4.47,0.223713647,-6.45,-2.84,7.55,2.86,10.41,2.3425
3.86,6.92,5.35,-5.35,3.88,3.68,0.27173913,-6.92,-3.86,10.67,5.32,15.99,1.8725
2.82,6.46,4.65,-4.65,2.45,4.42,0.226244344,-6.46,-2.82,7.49,2.84,10.33,2.3325
0.336,6.241,3.289,-3.289,0.916,5.905,0.16934801,-6.241,-0.336,3.845,0.556,4.401,2.5515
0.399,6.323,3.361,-3.361,0.954,5.904,0.169376694,-6.323,-0.399,3.958,0.597,4.555,2.4695
0.35,6.451,3.4,-3.4,0.947,6.101,0.163907556,-6.451,-0.35,3.976,0.576,4.552,2.3415
0.382,6.418,3.4,-3.4,0.958,6.036,0.165672631,-6.418,-0.382,3.992,0.592,4.584,2.3745
0.216,6.297,3.257,-3.257,0.872,6.081,0.164446637,-6.297,-0.216,3.753,0.496,4.249,2.4955
0.216,6.297,3.257,-3.257,0.872,6.081,0.164446637,-6.297,-0.216,3.753,0.496,4.249,2.4955
0.172,6.306,3.239,-3.239,0.855,6.133,0.16305234,-6.306,-0.172,3.714,0.474,4.188,2.4865
0.34,6.447,3.394,-3.394,0.943,6.106,0.163773338,-6.447,-0.34,3.964,0.571,4.535,2.3455
0.382,6.329,3.355,-3.355,0.947,5.946,0.168180289,-6.329,-0.382,3.943,0.587,4.53,2.4635
0.275,6.371,3.323,-3.323,0.906,6.096,0.164041995,-6.371,-0.275,3.854,0.531,4.385,2.4215
0.578,6.228,3.403,-3.403,1.025,5.649,0.177022482,-6.228,-0.578,4.104,0.701,4.805,2.5645
0.308,6.407,3.357,-3.357,0.924,6.099,0.163961305,-6.407,-0.308,3.908,0.551,4.459,2.3855
0.35,6.358,3.354,-3.354,0.936,6.008,0.16644474,-6.358,-0.35,3.925,0.571,4.496,2.4345
0.234,6.377,3.306,-3.306,0.889,6.143,0.162786912,-6.377,-0.234,3.816,0.51,4.326,2.4155
1.381,6.088,3.767,-3.767,1.563,4.539,0.220312844,-6.088,-1.381,5.294,1.527,6.821,2.7045
2.576,5.187,3.92,-3.92,2.965,2.592,0.385802469,-5.187,-2.576,8.051,4.131,12.182,3.6055
2.545,5.325,3.926,-3.926,2.882,2.674,0.373971578,-5.325,-2.545,7.894,3.968,11.862,3.4675
